molecule_chembl_id,smiles,ic50_nm,pIC50,scaffold,series,pIC50_bin
CHEMBL130208,CO[C@H]1[C@@H](N(C)C(=O)c2cccc([N+](=O)[O-])c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,4800.0,5.32,O=C(N[C@@H]1CC2O[C@@H](C1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O)c1ccccc1,minor_series,5-6
CHEMBL61119,CC(=O)Oc1ccc2c(c1)c(C(=O)Nc1ccccc1)c(SSc1c(C(=O)Nc3ccccc3)c3cc(OC(C)=O)ccc3n1C)n2C,5300.0,5.28,O=C(Nc1ccccc1)c1c(SSc2[nH]c3ccccc3c2C(=O)Nc2ccccc2)[nH]c2ccccc12,minor_series,5-6
CHEMBL417941,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCCCC1,5888.44,5.23,O=C(C=Cc1ccccc1)NC1CCCCC1,minor_series,5-6
CHEMBL299026,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,6200.0,5.21,c1ccc(-c2cnc3ncncc3c2)cc1,minor_series,5-6
CHEMBL137422,CNC(=O)c1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12,6100.0,5.21,c1ccc2[nH]c([Se][Se]c3cc4ccccc4[nH]3)cc2c1,minor_series,5-6
CHEMBL292323,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,6500.0,5.19,O=C(Nc1ccccc1)c1c(SSc2[nH]c3ccccc3c2C(=O)Nc2ccccc2)[nH]c2ccccc12,minor_series,5-6
CHEMBL122522,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O,6760.83,5.17,c1ccc(CSc2ccccc2)cc1,minor_series,5-6
CHEMBL56543,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,7000.0,5.16,O=C(C=Cc1ccccc1)NCc1ccccc1,minor_series,5-6
CHEMBL336174,NC(Cc1c(SSc2[nH]c3ccccc3c2CC(N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,7400.0,5.13,O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,minor_series,5-6
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,7600.0,5.12,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,minor_series,5-6
CHEMBL107472,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,7500.0,5.12,O=c1[nH]c2ncncc2cc1-c1ccccc1,minor_series,5-6
CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,8400.0,5.08,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,5-6
CHEMBL334334,COC(=O)c1cccc(NCc2cc(O)ccc2O)c1,9000.0,5.05,c1ccc(CNc2ccccc2)cc1,minor_series,5-6
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,5.03,c1ccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)cc1,minor_series,5-6
CHEMBL133283,COC(=O)c1ccc(NCc2cc(O)ccc2O)cc1O,10000.0,5.0,c1ccc(CNc2ccccc2)cc1,minor_series,<5
CHEMBL56542,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)N1CCc2ccccc21,12022.64,4.92,O=C(C=Cc1ccccc1)N1CCc2ccccc21,minor_series,<5
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,13350.0,4.88,c1ccc(Nc2ncnc3ccccc23)cc1,series_1,<5
